10:58:27.677 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 24040 (C:\Users\King\Desktop\SpringBoot\journalApp\journalApp\target\classes started by King in C:\Users\King\Desktop\SpringBoot\journalApp\journalApp)
10:58:27.679 [main] DEBUG n.e.journalApp.JournalApplication - Running with Spring Boot v3.5.7, Spring v6.2.12
10:58:27.679 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev"
10:58:33.704 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 6.601 seconds (process running for 7.348)
10:59:16.349 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 13084 (C:\Users\King\Desktop\SpringBoot\journalApp\journalApp\target\classes started by King in C:\Users\King\Desktop\SpringBoot\journalApp\journalApp)
10:59:16.355 [main] INFO  n.e.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default"
10:59:17.557 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
10:59:17.559 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
10:59:17.707 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 139 ms. Found 2 MongoDB repository interfaces.
10:59:17.730 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
10:59:17.731 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
10:59:17.743 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
10:59:17.744 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
10:59:17.744 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
10:59:18.401 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:59:18.416 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:59:18.419 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:59:18.420 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
10:59:18.492 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:59:18.493 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2053 ms
10:59:18.876 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-srv-cluster0.g6sm3im.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017 to client view of cluster
10:59:18.924 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.8+12-LTS-250"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='King', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@10a907ec, com.mongodb.Jep395RecordCodecProvider@59b492ec, com.mongodb.KotlinCodecProvider@55c1ced9]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.g6sm3im.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ej81hg-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
10:59:18.930 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-srv-cluster0.g6sm3im.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017 to client view of cluster
10:59:18.935 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-srv-cluster0.g6sm3im.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017 to client view of cluster
10:59:19.439 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29990 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
10:59:19.659 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=393940500, minRoundTripTimeNanos=0, setName='atlas-ej81hg-shard-0', canonicalAddress=ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, hosts=[ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017], passives=[], arbiters=[], primary='ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=346, topologyVersion=TopologyVersion{processId=691cb2eb5aa25627507cb0b5, counter=3}, lastWriteDate=Mon Nov 24 10:59:19 IST 2025, lastUpdateTimeNanos=257948300357900}
10:59:19.659 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=393940500, minRoundTripTimeNanos=0, setName='atlas-ej81hg-shard-0', canonicalAddress=ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, hosts=[ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017], passives=[], arbiters=[], primary='ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=346, topologyVersion=TopologyVersion{processId=691cad73511e12a3a54981c4, counter=4}, lastWriteDate=Mon Nov 24 10:59:19 IST 2025, lastUpdateTimeNanos=257948300357900}
